AAPL,MSI,SBUX,SMA_AAPL,SMA_MSI,SMA_SBUX,EMA_AAPL,EMA_MSI,EMA_SBUX,RSI_AAPL,RSI_MSI,RSI_SBUX
64.3885,57.83,31.73,63.1653071428571,57.79642857142857,31.869285714285706,63.57119629313385,57.886479478199234,31.673291058690427,56.87915864118382,46.72136683976321,57.96412571566621
64.1871,57.41,31.665,63.22092142857139,57.833571428571425,31.862499999999994,63.65331678738267,57.822948881106,31.67218558419837,55.63183234777276,43.54295884707099,56.72758255989141
63.5871,56.27,31.17,63.38684285714282,57.77428571428571,31.800714285714285,63.644487882398316,57.61588903029187,31.605227506305255,51.97505641033325,36.320484859977256,48.280640142339976
62.6371,56.92,31.51,63.4264571428571,57.73071428571428,31.781785714285714,63.51016949807854,57.52310382625295,31.592530505464556,46.736753962348324,42.2067319812095,53.412055908119896
63.1158,56.94,32.52,63.51371428571425,57.66642857142857,31.814285714285713,63.45758689833473,57.445356649419224,31.71619310473595,49.49874507271949,42.383209394225645,64.63653146445087
62.6985,56.61,33.055,63.472485714285675,57.54928571428571,31.895714285714284,63.356375311890105,57.33397576282999,31.894700690771156,47.2009311679003,40.20185325110584,68.90956588004964
62.5142,56.38,32.71,63.451464285714245,57.449999999999996,31.937499999999996,63.24408527030476,57.20677899445266,32.003407265335,46.181287710165144,38.70659474249954,63.57478674325884
61.7414,56.26,32.225,63.35795714285711,57.37571428571429,31.948214285714283,63.043727234264125,57.08054179519231,32.032952963290334,42.07673131581598,37.914256092685854,56.905237309390635
62.2807,57.19,32.985,63.29494999999997,57.355000000000004,32.035714285714285,62.94199026969557,57.0951362225,32.15989256818496,45.703501229913385,46.97373644687751,63.387130729384
61.4357,56.93,32.8,63.1408714285714,57.292142857142856,32.11571428571428,62.741151567069494,57.073118059500004,32.2452402257603,41.33624259595609,44.996907254191,60.982622282623744
61.7142,57.33,33.015,63.04454999999997,57.20642857142858,32.17892857142857,62.604224691460225,57.107368984900006,32.34787486232559,43.260649792452575,48.582001161033645,62.7510630238912
61.6814,57.35,33.5475,62.910064285714256,57.13714285714286,32.30267857142857,62.48118139926553,57.13971978691334,32.50782488068218,43.08140346479091,48.76183098354275,66.768492916082
60.4285,56.78,33.205,62.61842857142854,57.011428571428574,32.40767857142857,62.20749054603013,57.091757148658225,32.60078156325789,36.807710238194765,44.03496052731618,62.1271714258683
59.5482,55.5,32.61,62.28274285714282,56.83571428571429,32.481964285714284,61.85291847322611,56.87952286217046,32.60201068815684,33.154498269917326,35.67229786165124,54.97735351458629
59.0714,55.82,32.345,61.90294999999997,56.69214285714286,32.52589285714286,61.48204934346263,56.7382531472144,32.567742596402596,31.34012348389576,38.801354808191036,52.101434371249425
57.5057,55.59,32.005,61.425707142857114,56.56214285714287,32.55017857142857,60.951869431000944,56.585152727585815,32.49271025021558,26.25841215559917,37.39344933205738,48.58945017589947
57.5185,56.35,32.37,60.99223571428569,56.56785714285716,32.63589285714285,60.494086840200815,56.553799030574375,32.47634888352017,26.363532877113787,44.55284427914762,52.30620079798389
56.8671,57.49,32.9,60.58009285714284,56.608571428571445,32.73517857142856,60.01048859484071,56.67862582649779,32.532835699050814,24.45309813661722,53.19840458385284,57.150436488434366
56.2542,57.84,32.845,60.089978571428546,56.672857142857154,32.75839285714285,59.509650115528615,56.83347571629809,32.57445760584404,22.780403868027584,55.49291934742789,56.50900173784632
56.6471,57.73,32.755,59.65773571428569,56.75285714285716,32.73696428571428,59.12797676679147,56.95301228745834,32.59852992506483,26.262556819905665,54.587124717034676,55.413005304231014
